Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
16/04/2021,INDM21,10.0,121530.0,10.0,121515.0,121537.0,5.5846,5.6973,0.0,0.0,-150.0,4.0,1.96,,3.9200000000000004,-157.92
19/04/2021,INDM21,15.0,121391.66666666699,15.0,121343.33333333301,121357.0,5.5539,5.6973,0.0,-0.0,-725.0000000097498,6.0,1.96,,5.88,-736.8800000097498
26/04/2021,INDM21,20.0,120785.0,35.0,120774.285714286,121078.0,5.4618,5.6973,-15.0,-0.0,-4769.999999989959,11.0,1.96,,13.719999999999999,-4794.719999989959
27/04/2021,INDM21,0.0,0.0,0.0,0.0,119788.0,5.452999999999999,5.6973,-15.0,19350.0,0.0,0.0,1.96,,0.0,19350.0
28/04/2021,INDM21,0.0,0.0,0.0,0.0,121416.0,5.3716,5.6973,-15.0,-24420.0,0.0,0.0,1.96,,0.0,-24420.0
29/04/2021,INDM21,5.0,120840.0,0.0,0.0,120307.0,5.3546,5.6973,-10.0,16635.0,-2665.0,1.0,1.96,,1.9600000000000002,13967.04
30/04/2021,INDM21,30.0,119962.5,30.0,119935.83333333301,119317.0,5.4102,5.6973,-10.0,9900.0,-800.0000000097498,12.0,1.96,,11.76,9076.23999999025
03/05/2021,INDM21,20.0,119568.75,20.0,119553.75,119508.0,5.4069,5.4036,-10.0,-1910.0,-300.0,8.0,1.96,,7.840000000000001,-2225.84
04/05/2021,INDM21,45.0,118853.888888889,60.0,118841.25,117966.0,5.4322,5.4036,-25.0,15420.0,12559.999999994689,21.0,1.96,,23.52,27935.479999994688
05/05/2021,INDM21,0.0,0.0,0.0,0.0,119979.0,5.3623,5.4036,-25.0,-50325.0,0.0,0.0,1.96,,0.0,-50325.0
06/05/2021,INDM21,0.0,0.0,0.0,0.0,120176.0,5.2816,5.4036,-25.0,-4925.0,0.0,0.0,1.96,,0.0,-4925.0
07/05/2021,INDM21,0.0,0.0,0.0,0.0,122378.0,5.2238,5.4036,-25.0,-55050.0,0.0,0.0,1.96,,0.0,-55050.0
10/05/2021,INDM21,0.0,0.0,0.0,0.0,122170.0,5.2396,5.4036,-25.0,5200.0,0.0,0.0,1.96,,0.0,5200.0
11/05/2021,INDM21,0.0,0.0,0.0,0.0,123132.0,5.2367,5.4036,-25.0,-24050.0,0.0,0.0,1.96,,0.0,-24050.0
