Date,MtoM P&L,Gross P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Total,Receipt Value Cum Sum,Settlement Cum Sum
09/03/2021,0.0,-756.2003799999851,-856.2003799999851,100.0,0.0,-,-,0.0,-856.2003799999851,-856.2003799999851,0.0
10/03/2021,11400.003439999951,0.0,11400.003439999951,0.0,0.0,-,-,0.0,11400.003439999951,10543.803059999966,-856.2003799999851
11/03/2021,8199.996940000015,0.0,8199.996940000015,0.0,0.0,-,-,0.0,8199.996940000015,18743.79999999998,10543.803059999966
12/03/2021,-2600.002279999991,0.0,-2600.002279999991,0.0,0.0,-,-,0.0,-2600.002279999991,16143.79771999999,18743.79999999998
15/03/2021,1399.9938799999966,0.0,1399.9938799999966,0.0,0.0,-,-,0.0,1399.9938799999966,17543.791599999986,16143.79771999999
16/03/2021,-1599.9984599999807,0.0,-1599.9984599999807,0.0,0.0,-,-,0.0,-1599.9984599999807,15943.793140000005,17543.791599999986
17/03/2021,6400.0129599999755,0.0,6400.0129599999755,0.0,0.0,-,-,0.0,6400.0129599999755,22343.80609999998,15943.793140000005
18/03/2021,-4000.0152600000047,0.0,-4000.0152600000047,0.0,0.0,-,-,0.0,-4000.0152600000047,18343.790839999976,22343.80609999998
19/03/2021,5200.00458000002,0.0,5200.00458000002,0.0,0.0,-,-,0.0,5200.00458000002,23543.795419999995,18343.790839999976
22/03/2021,-2399.997700000007,0.0,-2399.997700000007,0.0,0.0,-,-,0.0,-2399.997700000007,21143.797719999988,23543.795419999995
23/03/2021,-4400.005340000028,0.0,-4400.005340000028,0.0,0.0,-,-,0.0,-4400.005340000028,16743.79237999996,21143.797719999988
24/03/2021,-2799.987799999997,0.0,-2799.987799999997,0.0,0.0,-,-,0.0,-2799.987799999997,13943.804579999962,16743.79237999996
25/03/2021,1999.988560000041,0.0,1999.988560000041,0.0,0.0,-,-,0.0,1999.988560000041,15943.793140000003,13943.804579999962
29/03/2021,799.9992399999554,0.0,799.9992399999554,0.0,0.0,-,-,0.0,799.9992399999554,16743.79237999996,15943.793140000003
31/03/2021,6599.998460000016,0.0,6599.998460000016,0.0,0.0,-,-,0.0,6599.998460000016,23343.790839999976,16743.79237999996
01/04/2021,-4199.990840000005,0.0,-4199.990840000005,0.0,0.0,-,-,0.0,-4199.990840000005,19143.79999999997,23343.790839999976
05/04/2021,2200.002288818368,0.0,2200.002288818368,0.0,0.0,-,-,0.0,2200.002288818368,21343.802288818337,19143.79999999997
06/04/2021,599.9946594238636,0.0,599.9946594238636,0.0,0.0,-,-,0.0,599.9946594238636,21943.7969482422,21343.802288818337
07/04/2021,200.0045776366832,0.0,200.0045776366832,0.0,0.0,-,-,0.0,200.0045776366832,22143.801525878884,21943.7969482422
08/04/2021,-1000.0038146972656,0.0,-1000.0038146972656,0.0,0.0,-,-,0.0,-1000.0038146972656,21143.797711181618,22143.801525878884
09/04/2021,-1599.9984741210938,0.0,-1599.9984741210938,0.0,0.0,-,-,0.0,-1599.9984741210938,19543.799237060524,21143.797711181618
12/04/2021,-399.99008178707385,0.0,-399.99008178707385,0.0,0.0,-,-,0.0,-399.99008178707385,19143.80915527345,19543.799237060524
14/04/2021,4399.986267089807,0.0,4399.986267089807,0.0,0.0,-,-,0.0,4399.986267089807,23543.79542236326,19143.80915527345
15/04/2021,-7799.9877929687145,337.4992370605412,-7474.988555908172,12.5,0.0,-,-,0.0,-7474.988555908172,16068.806866455086,23543.79542236326
16/04/2021,-5175.018310546911,775.0,-4410.908310546911,10.89,0.0,-,-,0.0,-4410.908310546911,11657.898555908176,16068.806866455086
19/04/2021,12000.007629394531,-13350.366185302712,-1464.6819315211792,112.5,1.823375613,-,-,0.0,-1464.6819315211792,10193.216624386996,11657.898555908176
06/05/2021,0.0,0.0,0.0,0.0,0.0,PBR Transaction,-,5851.27,5851.27,10193.216624386996,16044.486624386996
19/05/2021,0.0,831.6000000000001,821.5808495000001,10.0,0.0191505,-,-,0.0,821.5808495000001,11014.797473886996,16044.486624386996
20/05/2021,2680.9999999999977,0.0,2680.9999999999977,0.0,0.0,-,-,0.0,2680.9999999999977,13695.797473886994,16866.067473886997
