Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
11/08/2020,WSPZ20,3342.0,20.0,3374.75,0.0,0.0,5.3944,5.2123,20.0,0.0,-8833.33,0.6,3.07,0.0,32.003522000000004,-8865.933522000001
12/08/2020,WSPZ20,3376.0,0.0,0.0,0.0,0.0,5.4716,5.2123,20.0,9301.72,0.0,0.0,3.07,0.0,0.0,9301.72
13/08/2020,WSPZ20,3377.0,0.0,0.0,0.0,0.0,5.3758,5.2123,20.0,268.79,0.0,0.0,3.07,0.0,0.0,268.79
14/08/2020,WSPZ20,3368.0,0.0,0.0,0.0,0.0,5.4358,5.2123,20.0,-2446.11,0.0,0.0,3.07,0.0,0.0,-2446.11
17/08/2020,WSPZ20,3383.75,0.0,0.0,0.0,0.0,5.5106,5.2123,20.0,4339.5975,0.0,0.0,3.07,0.0,0.0,4339.5975
18/08/2020,WSPZ20,3390.0,0.0,0.0,0.0,0.0,5.4765,5.2123,20.0,1711.40625,0.0,0.0,3.07,0.0,0.0,1711.40625
19/08/2020,WSPZ20,3374.0,0.0,0.0,0.0,0.0,5.5145,5.2123,20.0,-4411.6,0.0,0.0,3.07,0.0,0.0,-4411.6
20/08/2020,WSPZ20,3385.0,0.0,0.0,0.0,0.0,5.5675,5.2123,20.0,3062.125,0.0,0.0,3.07,0.0,0.0,3062.125
21/08/2020,WSPZ20,3394.0,0.0,0.0,0.0,0.0,5.6047,5.2123,20.0,2522.1150000000002,0.0,0.0,3.07,0.0,0.0,2522.1150000000002
24/08/2020,WSPZ20,3427.0,40.0,3423.75,0.0,0.0,5.5992,5.2123,60.0,9238.68,1819.74,1.2,3.07,0.0,64.00704400000001,10993.212956
25/08/2020,WSPZ20,3444.0,0.0,0.0,0.0,0.0,5.5283,5.2123,60.0,14097.164999999999,0.0,0.0,3.07,0.0,0.0,14097.164999999999
26/08/2020,WSPZ20,3483.0,0.0,0.0,0.0,0.0,5.6107,5.2123,60.0,32822.594999999994,0.0,0.0,3.07,0.0,0.0,32822.594999999994
27/08/2020,WSPZ20,3488.0,0.0,0.0,0.0,0.0,5.5664,5.2123,60.0,4174.8,0.0,0.0,3.07,0.0,0.0,4174.8
28/08/2020,WSPZ20,3509.25,0.0,0.0,0.0,0.0,5.4158,5.2123,60.0,17262.8625,0.0,0.0,3.07,0.0,0.0,17262.8625
31/08/2020,WSPZ20,3497.0,0.0,0.0,0.0,0.0,5.4676,5.2123,60.0,-10046.715,0.0,0.0,3.07,0.0,0.0,-10046.715
01/09/2020,WSPZ20,3535.0,0.0,0.0,0.0,0.0,5.3722,5.4676,60.0,30621.54,0.0,0.0,3.07,0.0,0.0,30621.54
02/09/2020,WSPZ20,3583.0,0.0,0.0,0.0,0.0,5.3651,5.4676,60.0,38628.72,0.0,0.0,3.07,0.0,0.0,38628.72
03/09/2020,WSPZ20,3471.75,0.0,0.0,0.0,0.0,5.2775,5.4676,60.0,-88068.28125,0.0,0.0,3.07,0.0,0.0,-88068.28125
04/09/2020,WSPZ20,3427.0,0.0,0.0,0.0,0.0,5.303,5.4676,60.0,-35596.3875,0.0,0.0,3.07,0.0,0.0,-35596.3875
08/09/2020,WSPZ20,3347.0,0.0,0.0,0.0,0.0,5.3586,5.4676,60.0,-64303.2,0.0,0.0,3.07,0.0,0.0,-64303.2
09/09/2020,WSPZ20,3408.0,0.0,0.0,0.0,0.0,5.2927,5.4676,60.0,48428.205,0.0,0.0,3.07,0.0,0.0,48428.205
10/09/2020,WSPZ20,3350.0,0.0,0.0,0.0,0.0,5.3076,5.4676,60.0,-46176.119999999995,0.0,0.0,3.07,0.0,0.0,-46176.119999999995
11/09/2020,WSPZ20,3344.0,0.0,0.0,0.0,0.0,5.3334,5.4676,60.0,-4800.06,0.0,0.0,3.07,0.0,0.0,-4800.06
14/09/2020,WSPZ20,3382.0,0.0,0.0,0.0,0.0,5.2682,5.4676,60.0,30028.74,0.0,0.0,3.07,0.0,0.0,30028.74
15/09/2020,WSPZ20,3405.0,0.0,0.0,0.0,0.0,5.2798,5.4676,60.0,18215.309999999998,0.0,0.0,3.07,0.0,0.0,18215.309999999998
16/09/2020,WSPZ20,3389.0,140.0,3418.5,140.0,3416.82,5.2305,5.4676,60.0,-12553.2,-3075.5339999997004,8.4,3.07,0.0,234.997448,-15872.131447999702
17/09/2020,WSPZ20,3358.0,540.0,3351.25,540.0,3355.8,5.2408,5.4676,60.0,-24369.72,32191.61400000129,32.4,3.07,0.0,906.418728,6883.075272001289
18/09/2020,WSPZ20,3319.0,770.0,3335.7,754.0,3337.61,5.4045,5.4676,76.0,-31616.324999999997,15847.885575003202,45.72,3.07,0.0,1292.4859640000002,-17106.645388996796
21/09/2020,WSPZ20,3283.0,614.0,3275.39,458.0,3260.02,5.4155,5.4676,232.0,-37042.02,-79232.82662499904,32.16,3.07,0.0,1030.6316648,-117337.63828979906
22/09/2020,WSPZ20,3305.75,415.0,3296.14,472.0,3295.09,5.4649,5.4676,175.0,72109.3555,-14254.781782498341,26.61,3.07,0.0,792.2771104,57035.68660710166
23/09/2020,WSPZ20,3238.0,592.0,3261.75,523.0,3263.09,5.5675,5.4676,244.0,-165024.1796875,-13054.813187498941,33.449999999999996,3.07,0.0,993.7034944,-179106.14636939895
24/09/2020,WSPZ20,3244.0,797.0,3232.24,677.0,3237.61,5.5062,5.4676,364.0,20152.692,69470.21119500359,44.22,3.07,0.0,1337.8069004,88240.87629460359
25/09/2020,WSPZ20,3287.25,376.0,3258.24,421.0,3257.78,5.5526,5.4676,319.0,218536.4545,-20809.895464997684,23.91,3.07,0.0,706.6708972000001,196995.9781378023
28/09/2020,WSPZ20,3346.0,464.0,3343.23,443.0,3343.95,5.6211,5.4676,340.0,263366.1009375,5299.713607498749,27.209999999999997,3.07,0.0,778.8486848,267859.75586019875
29/09/2020,WSPZ20,3333.75,496.0,3335.98,888.0,3336.87,5.6409,5.4676,-52.0,-58735.871250000004,23472.913079998507,41.519999999999996,3.07,0.0,1490.5552415999998,-36795.03341160149
30/09/2020,WSPZ20,3342.25,323.0,3342.13,201.0,3351.05,5.6298,5.4676,70.0,-6220.929,25440.50322000002,15.719999999999999,3.07,0.0,542.1726836,18661.681536400018
01/10/2020,WSPZ20,3367.75,569.0,3374.94,849.0,3373.99,5.6472,5.6298,-210.0,25200.629999999997,17035.484699996945,42.54,3.07,0.0,1467.3679614,40726.20673859694
02/10/2020,WSPZ20,3339.25,726.0,3340.76,810.0,3342.66,5.6565,5.6298,-294.0,84635.38125,23557.059899996093,46.08,3.07,0.0,1399.962366,106746.39878399609
05/10/2020,WSPZ20,3393.0,308.0,3395.39,248.0,3388.7,5.5812,5.6298,-234.0,-220492.2825,-25150.561560000082,16.68,3.07,0.0,532.3313688000001,-246191.85542880007
06/10/2020,WSPZ20,3337.0,772.0,3384.23,612.0,3387.79,5.5693,5.6298,-74.0,182450.268,-74880.35236000048,41.519999999999996,3.07,0.0,1334.2851192000003,106194.11052079953
07/10/2020,WSPZ20,3412.0,305.0,3405.34,271.0,3404.4,5.6135,5.6298,-40.0,-77887.3125,-397.155125000277,17.28,3.07,0.0,527.1463229999999,-78828.89394800027
08/10/2020,WSPZ20,3450.75,313.0,3437.09,153.0,3440.79,5.5921,5.6298,120.0,-21669.3875,38469.45392499929,13.979999999999999,3.07,0.0,540.9731118000001,16245.113313199288
09/10/2020,WSPZ20,3483.0,202.0,3470.0,223.0,3467.83,5.5372,5.6298,99.0,53572.41,-10477.905130000225,12.75,3.07,0.0,385.4217378,42696.333132199776
13/10/2020,WSPZ20,3505.25,413.0,3515.67,332.0,3515.03,5.577000000000001,5.6298,180.0,30711.841875000006,-14730.251249999495,22.349999999999998,3.07,0.0,713.8079718,15245.432653200509
14/10/2020,WSPZ20,3481.0,283.0,3492.06,303.0,3491.52,5.5942,5.6298,160.0,-61046.7075,805.2850900001389,17.58,3.07,0.0,523.6896258,-60782.69203579986
15/10/2020,WSPZ20,3475.5,546.0,3460.95,506.0,3459.05,5.5984,5.6298,200.0,-12316.48,-5310.082399997322,31.56,3.07,0.0,943.6783356,-18601.800735597324
16/10/2020,WSPZ20,3462.25,274.0,3484.61,117.0,3489.31,5.6388,5.6298,357.0,-37357.049999999996,-41735.86014000058,11.73,3.07,0.0,473.5675164,-79578.20765640057
19/10/2020,WSPZ20,3422.75,490.0,3466.38,327.0,3462.82,5.5928,5.6298,520.0,-197167.173,-115712.37542000001,24.509999999999998,3.07,0.0,846.8908140000001,-313750.949234
20/10/2020,WSPZ20,3432.25,428.0,3446.7,370.0,3444.86,5.579,5.6298,578.0,68900.65,-21184.857749998257,23.939999999999998,3.07,0.0,739.7332008000001,46952.119049201734
21/10/2020,WSPZ20,3432.5,103.0,3443.62,177.0,3439.43,5.6071,5.6298,504.0,2025.564875,1138.9421874997513,8.4,3.07,0.0,305.9177022,2850.1893602997516
22/10/2020,WSPZ20,3449.25,0.0,0.0,0.0,0.0,5.5973,5.6298,504.0,118131.0165,0.0,0.0,3.07,0.0,0.0,118131.0165
23/10/2020,WSPZ20,3451.75,0.0,0.0,7.0,3459.5,5.6199,5.6298,497.0,17702.685,762.1989375,0.21,3.07,0.0,12.0984402,18452.575497300004
26/10/2020,WSPZ20,3393.5,963.0,3388.14,571.0,3396.03,5.6244,5.6298,889.0,-407069.46524999995,92891.32491000331,46.019999999999996,3.07,0.0,1664.3997018000002,-315888.5600417967
27/10/2020,WSPZ20,3383.0,75.0,3384.74,41.0,3396.03,5.6708,5.6298,923.0,-132335.2065,5723.680210000348,3.48,3.07,0.0,129.626145,-126744.63243499966
28/10/2020,WSPZ20,3270.25,505.0,3305.67,380.0,3299.65,5.7334,5.6298,1048.0,-1491662.261375,-96250.88584999999,26.55,3.07,0.0,872.816043,-1588812.513268
29/10/2020,WSPZ20,3286.0,1382.0,3297.25,782.0,3295.23,5.7586,5.6298,1648.0,237628.62900000002,-119917.6622599998,64.92,3.07,0.0,2388.5777652,115257.46897480023
30/10/2020,WSPZ20,3264.75,236.0,3265.67,456.0,3278.24,5.7442,5.6298,1428.0,-502904.71,85219.80235999833,20.759999999999998,3.07,0.0,788.1269616,-418493.79460160166
02/11/2020,WSPZ20,3264.75,0.0,0.0,0.0,0.0,5.7442,5.7442,1428.0,-0.0,0.0,0.0,3.07,0.0,0.0,0.0
03/11/2020,WSPZ20,3375.25,378.0,3345.69,162.0,3354.53,5.7466,5.7442,1644.0,2266947.501,112303.50516000016,16.2,3.07,0.0,666.5914332000001,2378568.2147268
04/11/2020,WSPZ20,3434.0,197.0,3436.95,393.0,3426.28,5.6560000000000015,5.7442,1448.0,1365711.9000000004,-51117.655399998395,17.7,3.07,0.0,693.0434742000001,1313883.501125802
05/11/2020,WSPZ20,3505.0,142.0,3504.78,202.0,3506.84,5.5728,5.7442,1388.0,1432321.056,5613.481440000013,10.32,3.07,0.0,356.2208188,1437567.9966212
06/11/2020,WSPZ20,3504.0,247.0,3500.53,231.0,3499.77,5.4317,5.7442,1404.0,-18847.999,-1630.0531700007282,14.34,3.07,0.0,435.5769418,-20927.969111800725
09/11/2020,WSPZ20,3555.0,540.0,3625.43,458.0,3621.63,5.4129,5.7442,1486.0,968963.2289999999,-101703.79003499808,29.939999999999998,3.07,0.0,952.2734760000001,866277.225489002
10/11/2020,WSPZ20,3545.0,125.0,3542.96,351.0,3542.18,5.3816,5.7442,1260.0,-199926.44,-9886.268280000833,14.28,3.07,0.0,618.9777594000001,-210445.96603940084
11/11/2020,WSPZ20,3568.0,7.0,3572.36,64.0,3576.44,5.4145,5.7442,1203.0,392280.525,6898.6144500000355,2.13,3.07,0.0,112.8620416,399064.1474084001
12/11/2020,WSPZ20,3529.0,528.0,3537.19,291.0,3543.38,5.4564,5.7442,1440.0,-639994.797,-1906.19333999996,24.57,3.07,0.0,931.1118432000001,-642856.6721832
13/11/2020,WSPZ20,3586.25,181.0,3572.53,101.0,3564.04,5.4688,5.7442,1520.0,1127119.68,3282.7839199994546,8.459999999999999,3.07,0.0,319.1879614,1130074.8159585993
16/11/2020,WSPZ20,3620.5,43.0,3615.1,143.0,3616.0,5.4273,5.7442,1420.0,706363.095,-5580.621224999947,5.58,3.07,0.0,252.17612420000003,700524.7176508001
17/11/2020,WSPZ20,3610.0,273.0,3615.78,213.0,3612.26,5.3616,5.7442,1480.0,-199853.64,-14698.290240000111,14.58,3.07,0.0,481.4271462,-215047.93738620012
18/11/2020,WSPZ20,3570.0,47.0,3605.18,107.0,3607.03,5.3202,5.7442,1420.0,-787389.6,30707.529375000388,4.62,3.07,0.0,188.69122580000004,-756875.3818507995
19/11/2020,WSPZ20,3580.0,63.0,3577.01,98.0,3569.54,5.3106,5.7442,1385.0,188526.3,-11108.58031500023,4.83,3.07,0.0,172.8200012,177240.06968379978
20/11/2020,WSPZ20,3555.0,35.0,3576.15,60.0,3576.25,5.3817,5.7442,1360.0,-465853.40625000006,7194.660187499958,2.85,3.07,0.0,105.80816399999999,-458767.4042265001
23/11/2020,WSPZ20,3570.5,15.0,3575.17,5.0,3578.5,5.4423,5.7442,1370.0,286809.21,-408.85278750001487,0.6,3.07,0.0,26.452040999999998,286373.3051715
24/11/2020,WSPZ20,3635.0,49.0,3617.54,59.0,3607.17,5.3839,5.7442,1360.0,1189370.8087499999,-10585.151192499918,3.2399999999999998,3.07,0.0,104.0446946,1178678.3728629
25/11/2020,WSPZ20,3629.0,8.0,3629.0,108.0,3632.1,5.3198,5.7442,1260.0,-108523.92,4452.672599999869,3.48,3.07,0.0,190.4546952,-104265.18209520011
26/11/2020,WSPZ20,3617.0,11.0,3628.05,111.0,3625.22,5.3169,5.7442,1160.0,-200978.82,10512.441757499679,3.6599999999999997,3.07,0.0,195.7451034,-190665.78334590033
27/11/2020,WSPZ20,3636.0,60.0,3638.85,20.0,3646.25,5.3397,5.7442,1200.0,294217.47,453.8745000000728,2.4,3.07,0.0,105.80816399999999,294563.13633600005
30/11/2020,WSPZ20,3618.75,62.0,3635.26,42.0,3623.86,5.3539,5.7442,1220.0,-277064.325,-10828.26275000011,3.12,3.07,0.0,109.33510280000002,-288005.0428528001
01/12/2020,WSPZ20,3664.0,252.0,3668.09,81.0,3668.6,5.2352,5.3539,1391.0,722523.04,-8612.951040000577,9.99,3.07,0.0,414.1991196000001,713485.8998403995
02/12/2020,WSPZ20,3667.25,22.0,3666.98,33.0,3655.59,5.2461,5.3539,1380.0,59290.7664375,-4968.581309999942,1.65,3.07,0.0,54.240360900000006,54266.294766600055
03/12/2020,WSPZ20,3665.0,242.0,3676.3,66.0,3676.53,5.1625,5.3539,1556.0,-40073.90625,-25472.0331250004,9.24,3.07,0.0,397.7626466,-65952.9420216004
04/12/2020,WSPZ20,3699.75,10.0,3690.3,26.0,3688.25,5.1370000000000005,5.3539,1540.0,694406.8175,-2626.2912500000234,1.08,3.07,0.0,42.7348298,691736.7114202001
07/12/2020,WSPZ20,3692.0,24.0,3691.05,24.0,3687.43,5.0878,5.3539,1540.0,-151807.23249999998,-1105.0701600001055,1.44,3.07,0.0,39.4475352,-152953.1901952001
08/12/2020,WSPZ20,3702.0,8.0,3686.22,108.0,3700.74,5.1118,5.3539,1440.0,196804.3,-125.7502800002808,3.48,3.07,0.0,177.5139084,196497.5558115997
09/12/2020,WSPZ20,3677.0,26.0,3670.95,126.0,3669.74,5.1797,5.3539,1340.0,-466173.00000000006,-9808.538905000296,4.56,3.07,0.0,207.09955980000004,-476193.19846480037
10/12/2020,WSPZ20,3675.25,99.0,3666.49,79.0,3668.65,5.0511,5.3539,1360.0,-29612.07375,4367.181060000364,5.34,3.07,0.0,162.7210827,-25412.95377269964
11/12/2020,WSPZ20,3661.25,0.0,0.0,0.0,0.0,5.0611,5.3539,1360.0,-240908.36,0.0,0.0,3.07,0.0,0.0,-240908.36
14/12/2020,WSPZ20,3648.5,40.0,3670.63,0.0,0.0,5.1158,5.3539,1400.0,-221769.93,-11321.265400000057,1.2,3.07,0.0,65.74589200000001,-233158.14129200007
15/12/2020,WSPZ20,3694.5,0.0,0.0,8.0,3696.5,5.0882,5.3539,1392.0,819200.2,203.528,0.24,3.07,0.0,13.1491784,819390.3388216
16/12/2020,WSPZ20,3706.0,8.0,3699.31,0.0,0.0,5.1144,5.3539,1400.0,204678.288,684.3067200000056,0.24,3.07,0.0,13.1491784,205349.2055416
17/12/2020,WSPZ20,3722.0,0.0,0.0,0.0,0.0,5.0757,5.3539,1400.0,284239.2,0.0,0.0,3.07,0.0,0.0,284239.2
18/12/2020,WSPZ20,3726.25,0.0,0.0,1400.0,3726.25,5.0917,5.3539,0.0,75739.0375,0.0,42.0,3.07,0.0,2301.10622,73395.93128
